bridge_opportunity_bridge_type,bridge_opportunity_span_m,days_per_year_river_is_flooded,bridge_classification,flag_for_rejection,height_differential_between_banks,bridge_opportunity_project_code
Suspended Bridge,52.44,78.63,,Yes,0.97,1009317
Suspension Bridge,48.0,120.0,,,0.7,1007325
Suspension Bridge,50.0,60.0,Standard,,1.0,1007374
Suspension Bridge,68.0,60.0,Standard,No,1.1,1007466
Suspension Bridge,78.0,35.0,Standard,No,1.1,1007495
Suspension Bridge,118.0,365.0,Outside of current engineering scope,Yes,0.97,1007507
Suspended Bridge,48.0,24.0,Standard,,0.4,1007525
Suspended Bridge,37.0,120.0,Standard,,0.97,1007530
Suspended Bridge,58.0,40.0,,No,0.97,1007535
Suspended Bridge,63.0,180.0,,No,0.97,1007539
Suspension Bridge,85.0,121.0,Standard,No,0.97,1007544
Suspension Bridge,96.0,120.0,Standard,No,0.97,1007563
Suspended Bridge,82.0,60.0,Standard,No,0.1,1007572
Suspension Bridge,35.0,35.0,Standard,No,0.3,1007580
Suspended Bridge,44.0,60.0,Standard,No,0.1,1007590
Suspended Bridge,31.0,78.63,Standard,,1.2,1007609
Suspension Bridge,36.0,90.0,,,0.97,1009064
Suspended Bridge,61.5,30.0,,,0.97,1009067
Suspension Bridge,46.0,45.0,,,0.97,1009068
Suspended Bridge,45.0,40.0,,No,0.97,1009311
Suspension Bridge,49.0,30.0,Requires additional engineering,No,0.1,1009445
Suspended Bridge,58.0,120.0,Requires additional engineering,No,0.97,1010941
Suspended Bridge,58.0,365.0,Standard,No,0.97,1011307
Suspended Bridge,78.0,365.0,Standard,No,0.97,1011309
Suspended Bridge,63.0,120.0,Standard,,0.2,1012457
Suspended Bridge,87.0,330.0,Standard,,0.7,1012480
Suspended Bridge,72.3,78.63,,,1.5,1012501
Suspended Bridge,50.0,34.0,Standard,,0.97,1012813
Suspended Bridge,68.0,60.0,Standard,,1.1,1012817
Suspension Bridge,42.0,70.0,Standard,No,0.97,1012953
Suspension Bridge,56.0,365.0,Standard,No,0.97,1012986
Suspended Bridge,55.0,60.0,Standard,No,4.3,1012997
Suspension Bridge,46.0,150.0,Standard,No,1.3,1013218
Suspension Bridge,33.0,70.0,Standard,No,0.97,1013351
Suspension Bridge,86.0,70.0,Standard,No,0.97,1013353
Suspended Bridge,53.0,82.0,Standard,No,0.97,1013457
Suspended Bridge,33.0,60.0,Standard,No,0.97,1013541
Suspended Bridge,45.0,28.0,Standard,No,0.97,1013641
Suspended Bridge,27.0,48.0,Standard,No,0.97,1013652
Suspended Bridge,40.0,28.0,Standard,No,0.97,1013658
Suspension Bridge,49.0,365.0,Standard,No,0.97,1013662
Suspension Bridge,33.7,78.63,Standard,No,0.97,1017673
Suspension Bridge,44.0,78.63,,,0.97,RW104
Suspended Bridge,79.0,90.0,,,0.3,RW127
Suspension Bridge,115.5,36.0,Standard,,0.97,1007342
Suspended Bridge,32.0,30.0,Standard,,0.97,1007347
Suspension Bridge,57.0,365.0,Standard,No,0.97,1013678
Suspended Bridge,55.0,78.63,Standard,No,0.4,1015693
Suspended Bridge,50.0,21.0,Standard,,0.97,1007340
,45.0,90.0,Standard,No,1.5,1007387
Suspended Bridge,72.0,140.0,Standard,No,1.7,1007391
Suspension Bridge,60.0,365.0,Standard,,0.97,1007412
,23.0,1.0,Standard,,0.97,1007423
,19.0,2.0,Standard,,0.97,1007424
,20.0,7.0,Standard,,0.97,1007426
Suspended Bridge,35.0,8.0,Standard,,0.97,1007439
Suspended Bridge,58.0,6.0,Standard,,0.97,1007444
