,0
200000,1126
200001,554
200002,554
200003,554
200004,554
200005,554
200006,554
200007,554
200008,554
200009,554
200010,554
200011,555
200012,555
200013,555
200014,555
200015,555
200016,555
200017,555
200018,555
200019,555
200020,555
200021,555
200022,555
200023,517
200024,517
200025,517
200026,517
200027,517
200028,517
200029,517
200030,517
200031,517
200032,517
200033,517
200034,517
200035,517
200036,517
200037,517
200038,517
200039,517
200040,517
200041,517
200042,517
200043,517
200044,517
200045,517
200046,385
200047,385
200048,385
200049,385
200050,385
200051,385
200052,385
200053,385
200054,385
200055,385
200056,385
200057,385
200058,385
200059,385
200060,385
200061,385
200062,385
200063,385
200064,385
200065,385
200066,385
200067,385
200068,385
200069,385
200070,385
200071,385
200072,385
200073,385
200074,385
200075,385
200076,385
200077,385
200078,385
200079,385
200080,385
200081,385
200082,385
200083,387
200084,387
200085,387
200086,400
200087,400
200088,386
200089,386
200090,386
200091,395
200092,395
200093,395
200094,398
200095,398
200096,398
200097,398
200098,128
200099,128
200100,128
200101,128
200102,1404
200103,1404
200104,1404
200105,1404
200106,1404
200107,1404
200108,1404
200109,1404
200110,1404
200111,1404
200112,1404
200113,1404
200114,1404
200115,1404
200116,1404
200117,1404
200118,1404
200119,1346
200120,1346
200121,1346
200122,121
200123,121
200124,121
200125,121
200126,121
200127,121
200128,121
200129,121
200130,121
200131,121
200132,121
200133,121
200134,121
200135,131
200136,131
200137,131
200138,131
200139,131
200140,131
200141,131
200142,131
200143,131
200144,915
200145,915
200146,915
200147,915
200148,915
200149,915
200150,915
200151,915
200152,915
200153,915
200154,915
200155,915
200156,915
200157,915
200158,915
200159,915
200160,915
200161,915
200162,915
200163,915
200164,915
200165,915
200166,915
200167,915
200168,915
200169,915
200170,915
200171,915
200172,915
200173,915
200174,915
200175,915
200176,915
200177,915
200178,915
200179,915
200180,915
200181,915
200182,783
200183,783
200184,783
200185,783
200186,783
200187,612
200188,612
200189,612
200190,612
200191,612
200192,599
200193,599
200194,599
200195,599
200196,599
200197,599
200198,599
200199,599
200200,599
200201,599
200202,599
200203,599
200204,599
200205,599
200206,599
200207,599
200208,599
200209,599
200210,599
200211,599
200212,599
200213,599
200214,599
200215,599
200216,599
200217,599
200218,599
200219,599
200220,599
200221,599
200222,228
200223,228
200224,228
200225,228
200226,228
200227,228
200228,228
200229,228
200230,228
200231,228
200232,230
200233,230
200234,598
200235,621
200236,621
200237,621
200238,621
200239,621
200240,280
200241,280
200242,280
200243,280
200244,280
200245,280
200246,280
200247,280
200248,280
200249,280
200250,280
200251,280
200252,280
200253,280
200254,280
200255,280
200256,181
200257,181
200258,181
200259,181
200260,181
200261,181
200262,181
200263,181
200264,556
200265,556
200266,556
200267,556
200268,491
200269,491
200270,491
200271,491
200272,491
200273,491
200274,491
200275,1291
200276,1291
200277,1291
200278,215
200279,215
200280,215
200281,215
200282,215
200283,215
200284,1124
200285,1124
200286,1124
200287,1124
200288,1124
200289,640
200290,640
200291,1126
200292,1126
200293,554
200294,554
200295,554
200296,554
200297,554
200298,554
200299,554
200300,554
200301,555
200302,555
200303,555
200304,555
200305,555
200306,555
200307,555
200308,555
200309,555
200310,555
200311,517
200312,517
200313,517
200314,517
200315,517
200316,517
200317,517
200318,517
200319,517
200320,517
200321,517
200322,517
200323,517
200324,517
200325,517
200326,517
200327,517
200328,517
200329,517
200330,517
200331,517
200332,517
200333,517
200334,517
200335,517
200336,517
200337,517
200338,385
200339,385
200340,385
200341,385
200342,385
200343,385
200344,385
200345,385
200346,385
200347,385
200348,385
200349,385
200350,385
200351,385
200352,385
200353,385
200354,385
200355,385
200356,385
200357,385
200358,385
200359,385
200360,385
200361,385
200362,385
200363,385
200364,385
200365,385
200366,387
200367,387
200368,387
200369,387
200370,400
200371,386
200372,386
200373,386
200374,395
200375,395
200376,395
200377,395
200378,395
200379,395
200380,395
200381,395
200382,395
200383,395
200384,395
200385,395
200386,395
200387,395
200388,398
200389,398
200390,398
200391,154
200392,154
200393,154
200394,128
200395,128
200396,128
200397,128
200398,128
